TransactionID,ShopID,BeneficiaryID,Timestamp,Item,Quantity,Price,Latitude,Longitude,District,is_fraud,time_diff,hour_of_day,Item_Kerosene,Item_Oil,Item_Rice,Item_Sugar,Item_Wheat,anomaly_pred,risk_score
c5d8fd3d-bced-438c-8e49-8b8506596440,SHOP_001,BEN_02485,2025-12-17 11:04:04.322714,Wheat,12,24.0,28.563667,77.196744,South Delhi,0,9999.0,11,False,False,False,False,True,1,0.1883659805477027
81d5bcf4-45dc-490c-ab54-b0315c413194,SHOP_001,BEN_01419,2025-12-17 13:53:50.322714,Wheat,12,24.0,28.563667,77.196744,South Delhi,0,10186.0,13,False,False,False,False,True,1,0.12390129573614828
c0003414-1073-4ee0-9579-d6faa02a43a3,SHOP_001,BEN_02500,2025-12-17 15:42:45.322714,Wheat,14,28.0,28.563667,77.196744,South Delhi,0,6535.0,15,False,False,False,False,True,1,0.09478105071075793
d8114839-70d1-439d-a39b-a9cc39a3e4b0,SHOP_001,BEN_00144,2025-12-17 15:57:39.322714,Oil,2,100.0,28.563667,77.196744,South Delhi,0,894.0,15,False,True,False,False,False,1,0.07191545953589318
4eb7357a-8374-478a-9613-d89bd5ded9eb,SHOP_001,BEN_01199,2025-12-17 19:52:32.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,14093.0,19,True,False,False,False,False,1,0.27979032901035705
12b6024d-bdcb-4e9b-ae9e-849969847bf2,SHOP_001,BEN_00644,2025-12-18 18:46:24.322714,Rice,14,42.0,28.563667,77.196744,South Delhi,0,82432.0,18,False,False,True,False,False,-1,0.6028229963765013
4bdba844-8843-4f8e-935f-d77c032cd1ae,SHOP_001,BEN_00198,2025-12-19 09:14:32.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,52088.0,9,True,False,False,False,False,1,0.3949769740098906
14281ab4-29d0-4101-9dbd-dbff5c112745,SHOP_001,BEN_01661,2025-12-19 10:17:54.322714,Sugar,2,40.0,28.563667,77.196744,South Delhi,0,3802.0,10,False,False,False,True,False,1,0.2124457385286489
4a4ad79c-e2c2-4e6c-ae1a-cc72578022c7,SHOP_001,BEN_01405,2025-12-19 14:16:13.322714,Oil,1,50.0,28.563667,77.196744,South Delhi,0,14299.0,14,False,True,False,False,False,1,0.15136045585499258
29b2d7a0-3e1c-463c-b508-8042b5c78e42,SHOP_001,BEN_02064,2025-12-19 16:08:43.322714,Sugar,3,60.0,28.563667,77.196744,South Delhi,0,6750.0,16,False,False,False,True,False,1,0.11492888280947455
abc4c5fd-bb68-42ca-b9b6-2e70b164edb9,SHOP_001,BEN_01363,2025-12-19 16:48:37.322714,Wheat,6,12.0,28.563667,77.196744,South Delhi,0,2394.0,16,False,False,False,False,True,1,0.24930170508241634
99868028-ffc9-4712-9dee-4827644d04a4,SHOP_001,BEN_02383,2025-12-19 18:16:41.322714,Oil,2,100.0,28.563667,77.196744,South Delhi,0,5284.0,18,False,True,False,False,False,1,0.14474882389000043
35d99856-fef2-4849-b8a9-0afffe7ec69e,SHOP_001,BEN_02812,2025-12-20 17:44:24.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,84463.0,17,True,False,False,False,False,-1,0.6189617555150011
770001db-2760-4cff-978d-caeae008ca2d,SHOP_001,BEN_00832,2025-12-21 16:06:06.322714,Oil,2,100.0,28.563667,77.196744,South Delhi,0,80502.0,16,False,True,False,False,False,1,0.5282696442129565
7c52c589-ca74-4f87-b7b6-0df0d8789e54,SHOP_001,BEN_01936,2025-12-22 08:28:46.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,58960.0,8,True,False,False,False,False,1,0.46268632330053244
92353374-4c64-42b6-a902-6b68dde11b04,SHOP_001,BEN_01846,2025-12-22 08:34:43.322714,Sugar,2,40.0,28.563667,77.196744,South Delhi,0,357.0,8,False,False,False,True,False,1,0.4176854034364669
b6e691cd-7ee8-49b2-a077-c31ec39de6dc,SHOP_001,BEN_02058,2025-12-22 08:53:13.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,1110.0,8,True,False,False,False,False,1,0.42503330568643544
ec505ded-8bfb-4a38-b91a-e38449ab0243,SHOP_001,BEN_02904,2025-12-22 09:45:35.322714,Kerosene,1,25.0,28.563667,77.196744,South Delhi,0,3142.0,9,True,False,False,False,False,1,0.3526040810141718
a091768f-0530-44df-b78a-97f731acd23c,SHOP_001,BEN_00131,2025-12-22 10:51:39.322714,Sugar,2,40.0,28.563667,77.196744,South Delhi,0,3964.0,10,False,False,False,True,False,1,0.21457888999501296
2252850f-eb4b-4f1c-8182-fc20b9904db8,SHOP_001,BEN_01437,2025-12-22 12:23:41.322714,Kerosene,3,75.0,28.563667,77.196744,South Delhi,0,5522.0,12,True,False,False,False,False,1,0.18150944425387566
2a44a197-f784-4fff-9d5c-90c23964d5be,SHOP_001,BEN_00217,2025-12-22 12:58:40.322714,Oil,1,50.0,28.563667,77.196744,South Delhi,0,2099.0,12,False,True,False,False,False,1,0.156074373583941
ad7d345e-e7bf-4c58-bef7-70a92ec2034d,SHOP_001,BEN_02865,2025-12-22 17:04:51.322714,Sugar,2,40.0,28.563667,77.196744,South Delhi,0,14771.0,17,False,False,False,True,False,1,0.18248682050720255
614175ed-9171-4c00-8a7c-fa63adce5558,SHOP_001,BEN_01880,2025-12-22 19:17:05.322714,Sugar,2,40.0,28.563667,77.196744,South Delhi,0,7934.0,19,False,False,False,True,False,1,0.2668767983057848
