TransactionID,ShopID,BeneficiaryID,Timestamp,Item,Quantity,Price,Latitude,Longitude,District,is_fraud
a8facc1a-7401-4e43-b03f-42f07095f75e,SHOP_040,BEN_01408,2025-12-21 02:30:58.024274,Sugar,1,20.0,28.673266,77.089259,West Delhi,1
727366a4-124b-4fc0-af4b-fb0ce39164d2,SHOP_013,BEN_01361,2025-12-21 03:49:26.024274,Oil,2,100.0,28.689861,77.183213,North Delhi,1
296d3cae-8c71-42b0-9eca-cc54071c5f36,SHOP_032,BEN_02651,2025-12-21 19:26:44.024274,Kerosene,1,25.0,28.708017,77.126743,Rohini,0
04fcb269-1202-45b5-9dd1-d8bc8c641d8e,SHOP_029,BEN_01198,2025-12-21 19:29:53.024274,Kerosene,3,75.0,28.583723,77.064561,Dwarka,0
27baed13-72ec-461a-a5b8-ffab90912fcb,SHOP_028,BEN_01337,2025-12-21 19:37:19.024274,Oil,1,50.0,28.644078,77.187159,Central Delhi,0
352c59fb-e872-4802-8c81-3aeedbf92ddd,SHOP_018,BEN_01676,2025-12-21 19:38:45.024274,Wheat,18,36.0,28.610429,77.188088,Central Delhi,0
bba5ee5b-5cb5-4dcb-8271-dfae404a771b,SHOP_030,BEN_01345,2025-12-21 19:49:37.024274,Oil,1,50.0,28.656014,77.071143,West Delhi,0
28429ed1-12eb-4bdd-92dc-6af9e108a49a,SHOP_003,BEN_02777,2025-12-21 19:51:12.024274,Kerosene,2,50.0,28.506364,77.204896,South Delhi,0
05737589-8b74-43a8-bcdb-555e0ce7e192,SHOP_048,BEN_01968,2025-12-22 08:13:50.024274,Sugar,3,60.0,28.596532,77.044874,Dwarka,0
5b0820fe-ba63-4bfa-853d-33236c4aff9f,SHOP_008,BEN_01153,2025-12-22 08:23:42.024274,Rice,17,51.0,28.666336,77.103257,West Delhi,0
04972769-e50b-4f4a-8d16-d9d0c56df8c4,SHOP_017,BEN_00124,2025-12-22 08:30:42.024274,Oil,2,100.0,28.722696,77.129286,Rohini,0
5b2b0009-dd46-440b-83b8-54bee47cb472,SHOP_018,BEN_00628,2025-12-22 08:31:22.024274,Wheat,7,14.0,28.610429,77.188088,Central Delhi,0
215fa965-0196-421d-8fda-85ec6743aa6a,SHOP_018,BEN_02373,2025-12-22 08:40:36.024274,Rice,20,60.0,28.610429,77.188088,Central Delhi,0
d53fcbc8-7321-4edd-a644-697063cfbd17,SHOP_019,BEN_02789,2025-12-22 08:43:49.024274,Wheat,14,28.0,28.631679,77.201199,Central Delhi,0
a84cec82-1fe5-4044-a288-21aeebb427dc,SHOP_014,BEN_02497,2025-12-22 08:55:20.024274,Sugar,2,40.0,28.708352,77.106686,Rohini,0
a5ea624d-b1b3-4c3e-8b93-874db91b8c10,SHOP_007,BEN_02295,2025-12-22 08:57:30.024274,Oil,1,50.0,28.520513,77.217525,South Delhi,0
2a0c6599-bad5-475b-a56f-e075e7db84c4,SHOP_001,BEN_00217,2025-12-22 08:59:53.024274,Rice,20,60.0,28.563667,77.196744,South Delhi,0
d379dcce-7c0e-495d-8a26-c297207ae761,SHOP_022,BEN_01994,2025-12-22 08:59:54.024274,Sugar,2,40.0,28.696907,77.177649,North Delhi,0
a31cae12-5c31-4b84-bae1-eee255516265,SHOP_007,BEN_00425,2025-12-22 09:02:46.024274,Sugar,3,60.0,28.520513,77.217525,South Delhi,0
f207a776-6fcd-4014-bb60-9523aebc294d,SHOP_049,BEN_02530,2025-12-22 09:13:51.024274,Rice,19,57.0,28.514677,77.242533,South Delhi,0
8aa4a6d1-8f62-40fc-a687-2f5976386dcf,SHOP_026,BEN_01506,2025-12-22 09:17:16.024274,Wheat,12,24.0,28.645158,77.323228,East Delhi,0
3993b693-e477-4ac0-8b38-b16ec06f42b1,SHOP_021,BEN_00026,2025-12-22 09:19:49.024274,Kerosene,1,25.0,28.654216,77.114329,West Delhi,0
d12c252a-6480-4365-9ef1-360f43258917,SHOP_039,BEN_00299,2025-12-22 09:23:00.024274,Wheat,16,32.0,28.707365,77.109479,Rohini,0
607a2d14-bfb6-49f5-9c4c-b024029b07c1,SHOP_007,BEN_01369,2025-12-22 09:27:24.024274,Oil,1,50.0,28.520513,77.217525,South Delhi,0
abe9083e-cada-4e7c-887f-a30cb2654f12,SHOP_025,BEN_02839,2025-12-22 09:38:49.024274,Kerosene,3,75.0,28.624929,77.222474,Central Delhi,0
3e3b50d7-0407-4700-9f90-3274ba964465,SHOP_029,BEN_01375,2025-12-22 09:39:01.024274,Oil,1,50.0,28.583723,77.064561,Dwarka,0
d6421f54-3623-4664-a5df-16a4dc9b6dc1,SHOP_040,BEN_01238,2025-12-22 09:41:07.024274,Wheat,15,30.0,28.673266,77.089259,West Delhi,0
4e6641a5-e499-4644-bd34-0afe1866ff62,SHOP_012,BEN_02625,2025-12-22 09:56:28.024274,Wheat,13,26.0,28.618685,77.319017,East Delhi,0
f43c172d-afc8-47ce-a1f1-9d6964cf93ea,SHOP_018,BEN_01385,2025-12-22 09:57:09.024274,Kerosene,1,25.0,28.610429,77.188088,Central Delhi,0
a177baca-0ba3-4cdd-af7d-0b6ef9a40f71,SHOP_031,BEN_02130,2025-12-22 10:04:25.024274,Wheat,9,18.0,28.727982,77.18544,North Delhi,0
102c97b7-2b5e-4e86-a17c-b0d39e6a091b,SHOP_014,BEN_02496,2025-12-22 10:10:38.024274,Kerosene,3,75.0,28.708352,77.106686,Rohini,0
11cb8d27-2a97-4944-96b6-56cb4701af05,SHOP_029,BEN_02371,2025-12-22 10:10:38.024274,Rice,18,54.0,28.583723,77.064561,Dwarka,0
50d8cafe-94f9-4ae8-b5bf-3dff85d3867b,SHOP_019,BEN_00044,2025-12-22 10:17:01.024274,Wheat,14,28.0,28.631679,77.201199,Central Delhi,0
8ddf0adc-3703-4e46-a2ba-cbf2cf32e5f6,SHOP_031,BEN_02482,2025-12-22 10:19:01.024274,Sugar,1,20.0,28.727982,77.18544,North Delhi,0
3e7be3e1-4bf1-41c4-a0cc-b69a10ffc407,SHOP_042,BEN_02174,2025-12-22 10:19:24.024274,Oil,1,50.0,28.598757,77.020815,Dwarka,0
eccada80-23ee-4e1a-a2ff-8fe4fa7a8910,SHOP_034,BEN_00962,2025-12-22 10:26:11.024274,Oil,2,100.0,28.586699,77.035213,Dwarka,0
bd14f309-63fb-49bf-bd92-2002e249d0b7,SHOP_040,BEN_01183,2025-12-22 10:28:21.024274,Rice,11,33.0,28.673266,77.089259,West Delhi,0
48bd8dc7-a002-496f-bb6e-3aeec9866236,SHOP_033,BEN_02431,2025-12-22 10:41:34.024274,Rice,19,57.0,28.731131,77.204781,North Delhi,0
a39be132-7629-4d06-a17d-661ab9b818ca,SHOP_019,BEN_01993,2025-12-22 10:48:05.024274,Oil,2,100.0,28.631679,77.201199,Central Delhi,0
